rank player team position completions attempts percent.complete attempts.game yards average.yards yards.per.game td int first.down first.down.percent long twenty.plus forty.plus sacks rating
40 	JoshMcCown 	CHI 	QB 	42 	70 	60.0 	23.3 	538 	7.7 	179.3 	4 	0 	27 	38.6 	35 	8 	0 	3 	103.2
41 	MattCassel 	MIN 	QB 	52 	75 	69.3 	25.0 	536 	7.1 	178.7 	3 	2 	23 	30.7 	70T 	7 	2 	4 	91.9
42 	BlaineGabbert 	JAC 	QB 	42 	86 	48.8 	28.7 	481 	5.6 	160.3 	1 	7 	23 	26.7 	67T 	6 	1 	12 	36.0
43 	JeffTuel 	BUF 	QB 	26 	59 	44.1 	29.5 	309 	5.2 	154.5 	1 	3 	15 	25.4 	59T 	3 	1 	2 	45.1
44 	MattBarkley 	PHI 	QB 	30 	49 	61.2 	16.3 	300 	6.1 	100.0 	0 	4 	17 	34.7 	26 	3 	0 	3 	44.6
45 	ScottTolzien 	GB 	QB 	24 	39 	61.5 	39.0 	280 	7.2 	280.0 	1 	2 	11 	28.2 	36 	5 	0 	1 	70.5
46 	JoshFreeman 	MIN 	QB 	20 	53 	37.7 	53.0 	190 	3.6 	190.0 	0 	1 	10 	18.9 	22 	2 	0 	1 	40.6
47 	SenecaWallace 	GB 	QB 	16 	24 	66.7 	12.0 	139 	5.8 	69.5 	0 	1 	7 	29.2 	17 	0 	0 	4 	64.4
48 	TarvarisJackson 	SEA 	QB 	7 	8 	87.5 	8.0 	129 	16.1 	129.0 	1 	0 	6 	75.0 	35T 	3 	0 	0 	158.3
49 	T.J.Yates 	HOU 	QB 	15 	22 	68.2 	7.3 	113 	5.1 	37.7 	0 	2 	7 	31.8 	20 	1 	0 	2 	42.4
