cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,prtvtgb,gndr,agea,eduyrs,inwtm
GB,ESS1-6e01,1,26.11.2014,136250,ESS6e02_1,6,2.1,309039,0.5052810811,0.4088020595,2.282115223,66,2,49,11,42
GB,ESS1-6e01,1,26.11.2014,136251,ESS6e02_1,6,2.1,309047,1.5158432129,1.4596783894,2.282115223,66,2,18,13,39
GB,ESS1-6e01,1,26.11.2014,136252,ESS6e02_1,6,2.1,309054,1.0105621621,0.9834740542,2.282115223,4,2,61,18,39
GB,ESS1-6e01,1,26.11.2014,136253,ESS6e02_1,6,2.1,309070,1.0105621621,1.1348298089,2.282115223,7,1,46,14,45
GB,ESS1-6e01,1,26.11.2014,136254,ESS6e02_1,6,2.1,309096,0.5052810811,0.683031116,2.282115223,4,1,34,17,53
GB,ESS1-6e01,1,26.11.2014,136255,ESS6e02_1,6,2.1,309153,1.0105621621,0.9731189455,2.282115223,4,2,27,16,40
GB,ESS1-6e01,1,26.11.2014,136256,ESS6e02_1,6,2.1,309195,1.5158432129,2.0490933076,2.282115223,66,1,19,11,31
GB,ESS1-6e01,1,26.11.2014,136257,ESS6e02_1,6,2.1,309203,1.0105621621,0.817604119,2.282115223,4,2,52,11,45
GB,ESS1-6e01,1,26.11.2014,136258,ESS6e02_1,6,2.1,310011,0.5052811225,0.491737067,2.282115223,77,2,77,10,59
GB,ESS1-6e01,1,26.11.2014,136259,ESS6e02_1,6,2.1,310052,0.5052811225,0.491737067,2.282115223,2,2,61,11,37
GB,ESS1-6e01,1,26.11.2014,136260,ESS6e02_1,6,2.1,310078,1.0105622449,0.9963034006,2.282115223,66,1,67,12,63
GB,ESS1-6e01,1,26.11.2014,136261,ESS6e02_1,6,2.1,310094,0.5052811225,0.5674149505,2.282115223,2,1,47,13,59
GB,ESS1-6e01,1,26.11.2014,136262,ESS6e02_1,6,2.1,310110,1.5158433371,1.4596785088,2.282115223,4,2,25,17,36
GB,ESS1-6e01,1,26.11.2014,136263,ESS6e02_1,6,2.1,310136,0.5052811225,0.5674149505,2.282115223,77,1,47,10,37
GB,ESS1-6e01,1,26.11.2014,136264,ESS6e02_1,6,2.1,310144,0.5052811225,0.4088020927,2.282115223,4,2,49,14,49
GB,ESS1-6e01,1,26.11.2014,136265,ESS6e02_1,6,2.1,310151,1.5158433371,1.4596785088,2.282115223,66,2,17,12,65
GB,ESS1-6e01,1,26.11.2014,136266,ESS6e02_1,6,2.1,310169,0.5052811225,0.491737067,2.282115223,2,2,76,10,57
